mode,offset_m,trial_count,success_rate,peak_contact_force_mean_n,peak_contact_force_std_n,insertion_time_mean_s,settling_time_mean_s,overshoot_mean_m,oscillation_mean_m,final_center_error_mean_m
stiff,0.0012,4.0,1.0,0.0,0.0,0.5850000000000004,0.001,4.33780023963887e-05,6.341633540724219e-05,0.0012012380807915454
stiff,0.0016,4.0,1.0,55.905330292093154,0.007261481128728683,0.6170000000000004,0.34150000000000025,4.712668513486191e-05,8.16727578024194e-05,0.0015300668893860764
stiff,0.002,4.0,0.0,55.94690945362496,0.006943088305062435,nan,nan,0.00022698650206110378,9.438395479087277e-05,0.0016485499182342614
stiff,0.0024,4.0,0.0,56.04285504665815,0.006752590262015808,nan,nan,0.00040760538015176685,0.00010897397569678082,0.001767033012842685
stiff,0.0028,4.0,0.0,56.19292161906946,0.006759244291601914,nan,nan,0.0005882879067307797,0.0001247855023048153,0.0018855096038938276
impedance,0.0012,4.0,1.0,0.0,0.0,0.6210000000000004,0.001,5.9057521604179554e-05,6.358023040475795e-05,0.0012196248473976756
impedance,0.0016,4.0,1.0,61.41584370358556,0.1448925794994113,0.6582500000000004,0.3582500000000003,2.634884937466618e-05,8.201058276352488e-05,0.0014980725778283022
impedance,0.002,4.0,1.0,52.31831367407387,3.5177645364762156,0.7647500000000006,0.39075000000000026,2.5247985049289313e-05,9.671005088971254e-05,0.0015037496676738537
impedance,0.0024,4.0,1.0,41.567823180797525,5.036855822166598,0.7820000000000006,0.3930000000000003,3.8905685653264194e-05,0.00011311236628299598,0.0015068786065068653
impedance,0.0028,4.0,1.0,36.53047271867928,0.0013705713375972187,0.7820000000000006,0.3945000000000003,5.347250314013545e-05,0.00013061976159290544,0.0015099021479783353
